,Crop,Production 2006-07,Production 2007-08,Production 2008-09,Production 2009-10,Production 2010-11,State
0,Wheat,131.6,136.4,140.1,140.3,150.8,Madhya Pradesh
1,Wheat,131.6,136.4,140.1,140.3,150.8,Punjab
2,Wheat,131.6,136.4,140.1,140.3,150.8,Uttar Pradesh
3,Wheat,131.6,136.4,140.1,140.3,150.8,Rajasthan
4,Maize,198.8,249.6,259.8,220.1,286.0,Bihar
5,Maize,198.8,249.6,259.8,220.1,286.0,Karnataka
6,Maize,198.8,249.6,259.8,220.1,286.0,Rajasthan
7,Maize,198.8,249.6,259.8,220.1,286.0,Uttar Pradesh
8,Maize,198.8,249.6,259.8,220.1,286.0,Andhra Pradesh
9,Gram,140.6,127.6,156.5,165.9,182.5,Rajasthan
10,Gram,140.6,127.6,156.5,165.9,182.5,Madhya Pradesh
11,Gram,140.6,127.6,156.5,165.9,182.5,Uttar Pradesh
12,Gram,140.6,127.6,156.5,165.9,182.5,Maharashtra
13,Gram,140.6,127.6,156.5,165.9,182.5,Andhra Pradesh
14,Arhar,97.0,128.9,94.9,103.3,119.9,Uttar Pradesh
15,Arhar,97.0,128.9,94.9,103.3,119.9,Karnataka
16,Arhar,97.0,128.9,94.9,103.3,119.9,Gujarat
17,Arhar,97.0,128.9,94.9,103.3,119.9,Andhra Pradesh
18,Arhar,97.0,128.9,94.9,103.3,119.9,Maharashtra
19,Groundnut,115.2,217.5,169.8,128.6,195.7,Karnataka
20,Groundnut,115.2,217.5,169.8,128.6,195.7,Andhra Pradesh
21,Groundnut,115.2,217.5,169.8,128.6,195.7,Tamil Nadu
22,Groundnut,115.2,217.5,169.8,128.6,195.7,Gujarat
23,Groundnut,115.2,217.5,169.8,128.6,195.7,Maharashtra
24,Sugarcane,149.8,146.7,120.1,123.2,144.3,Uttar Pradesh
25,Sugarcane,149.8,146.7,120.1,123.2,144.3,Karnataka
26,Sugarcane,149.8,146.7,120.1,123.2,144.3,Andhra Pradesh
27,Sugarcane,149.8,146.7,120.1,123.2,144.3,Maharashtra
28,Sugarcane,149.8,146.7,120.1,123.2,144.3,Tamil Nadu
