,dt,AverageTemperature,State
24709,1796-01-01,26.534,Andaman And Nicobar
24710,1796-02-01,26.294,Andaman And Nicobar
24711,1796-03-01,26.18,Andaman And Nicobar
24712,1796-04-01,27.942,Andaman And Nicobar
24713,1796-05-01,28.651,Andaman And Nicobar
24714,1796-06-01,28.307,Andaman And Nicobar
24715,1796-07-01,27.482,Andaman And Nicobar
24716,1796-08-01,28.025,Andaman And Nicobar
24717,1796-09-01,27.185,Andaman And Nicobar
24718,1796-10-01,26.808000000000003,Andaman And Nicobar
24719,1796-11-01,26.646,Andaman And Nicobar
24720,1796-12-01,24.796,Andaman And Nicobar
24721,1797-01-01,,Andaman And Nicobar
24722,1797-02-01,,Andaman And Nicobar
24723,1797-03-01,26.717,Andaman And Nicobar
24724,1797-04-01,27.111,Andaman And Nicobar
24725,1797-05-01,27.855999999999998,Andaman And Nicobar
24726,1797-06-01,28.733,Andaman And Nicobar
24727,1797-07-01,27.436,Andaman And Nicobar
24728,1797-08-01,27.955,Andaman And Nicobar
24729,1797-09-01,27.281,Andaman And Nicobar
24730,1797-10-01,26.412,Andaman And Nicobar
24731,1797-11-01,25.62,Andaman And Nicobar
24732,1797-12-01,26.513,Andaman And Nicobar
24733,1798-01-01,26.754,Andaman And Nicobar
24734,1798-02-01,26.55,Andaman And Nicobar
24735,1798-03-01,28.337,Andaman And Nicobar
24736,1798-04-01,,Andaman And Nicobar
24737,1798-05-01,,Andaman And Nicobar
24738,1798-06-01,28.191,Andaman And Nicobar
24739,1798-07-01,28.559,Andaman And Nicobar
24740,1798-08-01,28.413,Andaman And Nicobar
24741,1798-09-01,27.134,Andaman And Nicobar
24742,1798-10-01,26.555,Andaman And Nicobar
24743,1798-11-01,27.18,Andaman And Nicobar
24744,1798-12-01,26.073,Andaman And Nicobar
24745,1799-01-01,26.119,Andaman And Nicobar
24746,1799-02-01,24.997,Andaman And Nicobar
24747,1799-03-01,26.937,Andaman And Nicobar
24748,1799-04-01,28.779,Andaman And Nicobar
24749,1799-05-01,28.811999999999998,Andaman And Nicobar
24750,1799-06-01,28.789,Andaman And Nicobar
24751,1799-07-01,27.907,Andaman And Nicobar
24752,1799-08-01,28.007,Andaman And Nicobar
24753,1799-09-01,27.357,Andaman And Nicobar
24754,1799-10-01,27.342,Andaman And Nicobar
24755,1799-11-01,26.732,Andaman And Nicobar
24756,1799-12-01,26.256,Andaman And Nicobar
24757,1800-01-01,26.526,Andaman And Nicobar
24758,1800-02-01,26.919,Andaman And Nicobar
